S.No.,Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine (liters),Power,Seats,New_Price,Price,updated_price
0,Maruti Wagon R LXI CNG,Mumbai,2010,72000,CNG,Manual,First,39.900000000000006,0.998,58.16,5.0,,1.75,2099.08
1,Hyundai Creta 1.6 CRDi SX Option,Pune,2015,41000,Diesel,Manual,First,19.67,1.582,126.2,5.0,,12.5,14993.4
2,Honda Jazz V,Chennai,2011,46000,Petrol,Manual,First,18.2,1.199,88.7,5.0,8.61,4.5,10327.46
3,Maruti Ertiga VDI,Chennai,2012,87000,Diesel,Manual,First,20.77,1.248,88.76,7.0,,6.0,7196.83
4,Audi A4 New 2.0 TDI Multitronic,Coimbatore,2013,40670,Diesel,Automatic,Second,15.2,1.968,140.8,5.0,,17.74,21278.64
5,Hyundai EON LPG Era Plus Option,Hyderabad,2012,75000,LPG,Manual,First,31.650000000000002,0.814,55.2,5.0,,2.35,2818.76
6,Nissan Micra Diesel XV,Jaipur,2013,86999,Diesel,Manual,First,23.08,1.461,63.1,5.0,,3.5,4198.15
7,Toyota Innova Crysta 2.8 GX AT 8S,Mumbai,2016,36000,Diesel,Automatic,First,11.36,2.755,171.5,8.0,21.0,17.5,25188.92
8,Volkswagen Vento Diesel Comfortline,Pune,2013,64430,Diesel,Manual,First,20.54,1.598,103.6,5.0,,5.2,6237.26
9,Tata Indica Vista Quadrajet LS,Chennai,2012,65932,Diesel,Manual,Second,22.3,1.248,74.0,5.0,,1.95,2338.97
10,Maruti Ciaz Zeta,Kochi,2018,25692,Petrol,Manual,First,21.56,1.462,103.25,5.0,10.65,9.95,12774.38
11,Honda City 1.5 V AT Sunroof,Kolkata,2012,60000,Petrol,Automatic,First,16.8,1.497,116.3,5.0,,4.49,5385.63
12,Maruti Swift VDI BSIV,Jaipur,2015,64424,Diesel,Manual,First,25.2,1.248,74.0,5.0,,5.6,6717.04
13,Land Rover Range Rover 2.2L Pure,Delhi,2014,72000,Diesel,Automatic,First,12.7,2.179,187.7,5.0,,27.0,32385.75
14,Land Rover Freelander 2 TD4 SE,Pune,2012,85000,Diesel,Automatic,Second,0.0,2.179,115.0,5.0,,17.5,20990.76
15,Mitsubishi Pajero Sport 4X4,Delhi,2014,110000,Diesel,Manual,First,13.5,2.477,175.56,7.0,32.01,15.0,38395.11
16,Honda Amaze S i-Dtech,Kochi,2016,58950,Diesel,Manual,First,25.8,1.498,98.6,5.0,,5.4,6477.15
17,Maruti Swift DDiS VDI,Jaipur,2017,25000,Diesel,Manual,First,28.4,1.248,74.0,5.0,,5.99,7184.84
18,Renault Duster 85PS Diesel RxL Plus,Kochi,2014,77469,Diesel,Manual,First,20.45,1.461,83.8,5.0,,6.34,7604.65
19,Mercedes-Benz New C-Class C 220 CDI BE Avantgare,Bangalore,2014,78500,Diesel,Automatic,First,14.84,2.143,167.62,5.0,,28.0,33585.22
20,BMW 3 Series 320d,Kochi,2014,32982,Diesel,Automatic,First,22.69,1.995,190.0,5.0,47.87,18.55,57418.74
21,Maruti S Cross DDiS 200 Alpha,Bangalore,2015,55392,Diesel,Manual,Second,23.65,1.248,88.5,5.0,,8.25,9895.65
